file,pan_deg,tilt_deg,cx,cy,w,h,conf,cls,W,H
img_t+20_p-019_20250929_184359_977_ud.jpg,-19.0,20.0,468.83782958984375,1164.552001953125,66.454345703125,48.40576171875,0.7534823417663574,0,2592,1944
img_t+20_p-019_20250929_184359_977_ud.jpg,-19.0,20.0,468.83782958984375,1164.552001953125,66.454345703125,48.40576171875,0.7534823417663574,0,2592,1944
img_t+20_p-018_20250929_184400_425_ud.jpg,-18.0,20.0,1393.916259765625,1193.268798828125,29.35107421875,38.302734375,0.7633954286575317,0,2592,1944
img_t+20_p-018_20250929_184400_425_ud.jpg,-18.0,20.0,1337.50341796875,1193.1806640625,29.318359375,38.54248046875,0.6907751560211182,0,2592,1944
img_t+20_p-018_20250929_184400_425_ud.jpg,-18.0,20.0,1393.916259765625,1193.268798828125,29.35107421875,38.302734375,0.7633954286575317,0,2592,1944
img_t+20_p-018_20250929_184400_425_ud.jpg,-18.0,20.0,1337.50341796875,1193.1806640625,29.318359375,38.54248046875,0.6907751560211182,0,2592,1944
img_t+20_p-017_20250929_184400_874_ud.jpg,-17.0,20.0,2080.940673828125,1178.67236328125,63.6650390625,50.9091796875,0.784529983997345,0,2592,1944
img_t+20_p-017_20250929_184400_874_ud.jpg,-17.0,20.0,2104.10009765625,1177.6729736328125,66.625,48.727783203125,0.13192865252494812,0,2592,1944
img_t+20_p-017_20250929_184400_874_ud.jpg,-17.0,20.0,2080.940673828125,1178.67236328125,63.6650390625,50.9091796875,0.784529983997345,0,2592,1944
img_t+20_p-017_20250929_184400_874_ud.jpg,-17.0,20.0,2104.10009765625,1177.6729736328125,66.625,48.727783203125,0.13192865252494812,0,2592,1944
img_t+20_p-016_20250929_184401_322_ud.jpg,-16.0,20.0,2578.94970703125,1155.33740234375,25.947265625,61.4970703125,0.6694312691688538,0,2592,1944
img_t+20_p-016_20250929_184401_322_ud.jpg,-16.0,20.0,2578.94970703125,1155.33740234375,25.947265625,61.4970703125,0.6694312691688538,0,2592,1944
img_t+20_p-015_20250929_184401_770_ud.jpg,-15.0,20.0,2527.82958984375,1157.83203125,82.63671875,63.602783203125,0.7727131247520447,0,2592,1944
img_t+20_p-015_20250929_184401_770_ud.jpg,-15.0,20.0,2514.7197265625,1158.586181640625,77.9013671875,60.131103515625,0.3401326835155487,0,2592,1944
img_t+20_p-015_20250929_184401_770_ud.jpg,-15.0,20.0,2186.666015625,1162.43896484375,9.8251953125,8.05224609375,0.24169506132602692,0,2592,1944
img_t+20_p-015_20250929_184401_770_ud.jpg,-15.0,20.0,2527.82958984375,1157.83203125,82.63671875,63.602783203125,0.7727131247520447,0,2592,1944
img_t+20_p-015_20250929_184401_770_ud.jpg,-15.0,20.0,2514.7197265625,1158.586181640625,77.9013671875,60.131103515625,0.3401326835155487,0,2592,1944
img_t+20_p-015_20250929_184401_770_ud.jpg,-15.0,20.0,2186.666015625,1162.43896484375,9.8251953125,8.05224609375,0.24169506132602692,0,2592,1944
img_t+20_p-014_20250929_184402_218_ud.jpg,-14.0,20.0,2481.99658203125,1160.694091796875,83.4443359375,62.7861328125,0.7743185758590698,0,2592,1944
img_t+20_p-014_20250929_184402_218_ud.jpg,-14.0,20.0,2170.470458984375,1163.1396484375,6.52880859375,8.56689453125,0.1731608361005783,0,2592,1944
img_t+20_p-014_20250929_184402_218_ud.jpg,-14.0,20.0,2471.2333984375,1161.22119140625,72.1513671875,57.235595703125,0.13915549218654633,0,2592,1944
img_t+20_p-014_20250929_184402_218_ud.jpg,-14.0,20.0,2481.99658203125,1160.694091796875,83.4443359375,62.7861328125,0.7743185758590698,0,2592,1944
img_t+20_p-014_20250929_184402_218_ud.jpg,-14.0,20.0,2170.470458984375,1163.1396484375,6.52880859375,8.56689453125,0.1731608361005783,0,2592,1944
img_t+20_p-014_20250929_184402_218_ud.jpg,-14.0,20.0,2471.2333984375,1161.22119140625,72.1513671875,57.235595703125,0.13915549218654633,0,2592,1944
img_t+20_p-013_20250929_184402_666_ud.jpg,-13.0,20.0,2437.19873046875,1163.153564453125,77.3935546875,60.9775390625,0.7728459239006042,0,2592,1944
img_t+20_p-013_20250929_184402_666_ud.jpg,-13.0,20.0,2140.30126953125,1164.610107421875,5.03515625,7.918701171875,0.22961531579494476,0,2592,1944
img_t+20_p-013_20250929_184402_666_ud.jpg,-13.0,20.0,2437.19873046875,1163.153564453125,77.3935546875,60.9775390625,0.7728459239006042,0,2592,1944
img_t+20_p-013_20250929_184402_666_ud.jpg,-13.0,20.0,2140.30126953125,1164.610107421875,5.03515625,7.918701171875,0.22961531579494476,0,2592,1944
img_t+20_p-012_20250929_184403_115_ud.jpg,-12.0,20.0,2397.262939453125,1165.7056884765625,75.8115234375,59.748291015625,0.7753590941429138,0,2592,1944
img_t+20_p-012_20250929_184403_115_ud.jpg,-12.0,20.0,2109.36279296875,1165.742431640625,4.8134765625,7.2607421875,0.404096782207489,0,2592,1944
img_t+20_p-012_20250929_184403_115_ud.jpg,-12.0,20.0,2397.262939453125,1165.7056884765625,75.8115234375,59.748291015625,0.7753590941429138,0,2592,1944
img_t+20_p-012_20250929_184403_115_ud.jpg,-12.0,20.0,2109.36279296875,1165.742431640625,4.8134765625,7.2607421875,0.404096782207489,0,2592,1944
img_t+20_p-011_20250929_184403_561_ud.jpg,-11.0,20.0,2365.54443359375,1166.57470703125,77.12109375,60.18310546875,0.7691245079040527,0,2592,1944
img_t+20_p-011_20250929_184403_561_ud.jpg,-11.0,20.0,2084.927734375,1167.52880859375,6.083984375,8.0,0.5386091470718384,0,2592,1944
img_t+20_p-011_20250929_184403_561_ud.jpg,-11.0,20.0,2365.54443359375,1166.57470703125,77.12109375,60.18310546875,0.7691245079040527,0,2592,1944
img_t+20_p-011_20250929_184403_561_ud.jpg,-11.0,20.0,2084.927734375,1167.52880859375,6.083984375,8.0,0.5386091470718384,0,2592,1944
img_t+20_p-010_20250929_184404_009_ud.jpg,-10.0,20.0,2326.069580078125,1168.56689453125,75.5927734375,59.189697265625,0.7770626544952393,0,2592,1944
img_t+20_p-010_20250929_184404_009_ud.jpg,-10.0,20.0,2042.98388671875,1169.547607421875,7.08349609375,7.8173828125,0.13188718259334564,0,2592,1944
img_t+20_p-010_20250929_184404_009_ud.jpg,-10.0,20.0,2326.069580078125,1168.56689453125,75.5927734375,59.189697265625,0.7770626544952393,0,2592,1944
img_t+20_p-010_20250929_184404_009_ud.jpg,-10.0,20.0,2042.98388671875,1169.547607421875,7.08349609375,7.8173828125,0.13188718259334564,0,2592,1944
img_t+20_p-009_20250929_184404_478_ud.jpg,-9.0,20.0,2290.177734375,1170.2274169921875,74.32421875,56.94677734375,0.7866308689117432,0,2592,1944
img_t+20_p-009_20250929_184404_478_ud.jpg,-9.0,20.0,2028.1837158203125,1169.6005859375,4.244384765625,6.61328125,0.1106034517288208,0,2592,1944
img_t+20_p-009_20250929_184404_478_ud.jpg,-9.0,20.0,2290.177734375,1170.2274169921875,74.32421875,56.94677734375,0.7866308689117432,0,2592,1944
img_t+20_p-009_20250929_184404_478_ud.jpg,-9.0,20.0,2028.1837158203125,1169.6005859375,4.244384765625,6.61328125,0.1106034517288208,0,2592,1944
img_t+20_p-008_20250929_184404_983_ud.jpg,-8.0,20.0,2258.5087890625,1171.86279296875,71.6220703125,55.87255859375,0.7971944212913513,0,2592,1944
img_t+20_p-008_20250929_184404_983_ud.jpg,-8.0,20.0,2258.5087890625,1171.86279296875,71.6220703125,55.87255859375,0.7971944212913513,0,2592,1944
img_t+20_p-007_20250929_184405_417_ud.jpg,-7.0,20.0,2224.134521484375,1173.218994140625,70.478515625,55.203125,0.8034485578536987,0,2592,1944
