file,pan_deg,tilt_deg,cx,cy,w,h,conf,cls,W,H
img_t+00_p+045_20250930_034050_984.jpg,45.0,0.0,2227.4122314453125,638.1785583496094,36.624755859375,30.12872314453125,0.5525903701782227,-1,2592,1944
img_t+00_p+135_20250930_034055_144.jpg,135.0,0.0,230.49412536621094,595.2650756835938,38.79095458984375,30.783447265625,0.7653917074203491,-1,2592,1944
img_t+15_p+060_20250930_034103_521.jpg,60.0,15.0,1702.7567138671875,959.3867797851562,27.409423828125,25.9920654296875,0.6251686811447144,-1,2592,1944
img_t+15_p+045_20250930_034104_224.jpg,45.0,15.0,2035.0563354492188,925.7349548339844,30.7911376953125,27.64483642578125,0.5385910272598267,-1,2592,1944
img_t+15_p+030_20250930_034104_928.jpg,30.0,15.0,2521.5989990234375,853.470947265625,37.673095703125,29.1455078125,0.7738361358642578,-1,2592,1944
img_t+30_p+045_20250930_034125_396.jpg,45.0,30.0,2205.66015625,1178.5950927734375,30.0166015625,27.554443359375,0.749129593372345,-1,2592,1944
img_t+30_p+060_20250930_034126_100.jpg,60.0,30.0,1826.4810791015625,1224.4193725585938,24.40283203125,25.8985595703125,0.6051110029220581,-1,2592,1944
img_t+30_p+075_20250930_034126_803.jpg,75.0,30.0,1530.7604370117188,1244.3480834960938,23.1512451171875,25.3421630859375,0.5942062139511108,-1,2592,1944
img_t+30_p+105_20250930_034128_147.jpg,105.0,30.0,986.6557312011719,1235.5543212890625,24.78314208984375,24.393310546875,0.7423679232597351,-1,2592,1944
img_t+30_p+120_20250930_034128_851.jpg,120.0,30.0,669.099609375,1204.0758666992188,28.865234375,27.1348876953125,0.7971556186676025,-1,2592,1944
img_t+30_p+135_20250930_034129_555.jpg,135.0,30.0,240.3577651977539,1140.5904541015625,36.28898620605469,28.8564453125,0.8218358159065247,-1,2592,1944
img_t+45_p+120_20250930_034134_992.jpg,120.0,45.0,441.43780517578125,1507.546630859375,34.96099853515625,34.50048828125,0.8282225131988525,-1,2592,1944
img_t+45_p+105_20250930_034135_695.jpg,105.0,45.0,830.1587829589844,1556.9923095703125,29.66253662109375,32.140380859375,0.8112505078315735,-1,2592,1944
img_t+45_p+090_20250930_034136_398.jpg,90.0,45.0,1157.1206665039062,1578.30908203125,25.6307373046875,29.422607421875,0.7809026837348938,-1,2592,1944
img_t+45_p+075_20250930_034137_101.jpg,75.0,45.0,1467.814208984375,1578.4525756835938,25.4052734375,28.9158935546875,0.753802478313446,-1,2592,1944
img_t+45_p+060_20250930_034137_805.jpg,60.0,45.0,1793.81591796875,1558.424072265625,27.732666015625,31.863525390625,0.6196329593658447,-1,2592,1944
img_t+45_p+045_20250930_034138_441.jpg,45.0,45.0,2085.9501953125,1526.0150756835938,29.98388671875,30.8792724609375,0.6673421263694763,-1,2592,1944
